filial,sigla,email_loja,email_gerente
001 - Cl 2,1,loja001@oscarcalcados.com.br,gerente001@oscarcalcados.com.br
002 - Jp,2,loja002@oscarcalcados.com.br,gerente002@oscarcalcados.com.br
003 - Cl 1,3,loja003@oscarcalcados.com.br,gerente003@oscarcalcados.com.br
005 - Jc 1,5,loja005@oscarcalcados.com.br,gerente005@oscarcalcados.com.br
006 - Sh 2,6,loja006@oscarcalcados.com.br,gerente006@oscarcalcados.com.br
007 - Cn,7,loja007@oscarcalcados.com.br,gerente007@oscarcalcados.com.br
008 - Rio Preto Shopp,8,loja008@oscarcalcados.com.br,gerente008@oscarcalcados.com.br
016 - Guara Ct,16,loja016@oscarcalcados.com.br,gerente016@oscarcalcados.com.br
017 - Tênis VS,17,loja017@oscarcalcados.com.br,gerente017@oscarcalcados.com.br
019 - Jc Sh,19,loja019@oscarcalcados.com.br,gerente019@oscarcalcados.com.br
020 - Taub Shopp,20,loja020@oscarcalcados.com.br,gerente020@oscarcalcados.com.br
022 - Tenis Calçadão,22,loja022@oscarcalcados.com.br,gerente022@oscarcalcados.com.br
023 - Guará Shopp,23,loja023@oscarcalcados.com.br,gerente023@oscarcalcados.com.br
026 - Vale Sul 2,26,loja026@oscarcalcados.com.br,gerente026@oscarcalcados.com.br
031 - Constantino Mogi,31,loja031@lojasconstantino.com.br,gerente031@lojasconstantino.com.br
032 - Mogi Shopp,32,loja032@oscarcalcados.com.br,gerente032@oscarcalcados.com.br
039 - CL Mg,39,loja039@oscarcalcados.com.br,gerente039@oscarcalcados.com.br
041 - Rio Preto Ct,41,loja041@oscarcalcados.com.br,gerente041@oscarcalcados.com.br
044 - Caragua Shopp,44,loja044@oscarcalcados.com.br,gerente044@oscarcalcados.com.br
045 - Araçatuba,45,loja045@oscarcalcados.com.br,gerente045@oscarcalcados.com.br
046 - Constantino SJC,46,constantino46@lojasconstantino.com.br,
047 - Pinda Shopp,47,loja047@oscarcalcados.com.br,gerente047@oscarcalcados.com.br
048 - Pinda Ct,48,loja048@oscarcalcados.com.br,gerente048@oscarcalcados.com.br
049 - Lorena,49,loja049@oscarcalcados.com.br,gerente049@oscarcalcados.com.br
053 - Bauru Shopping,53,loja053@oscarcalcados.com.br,gerente053@oscarcalcados.com.br
054 - Ribeirão Preto,54,loja054@oscarcalcados.com.br,gerente054@oscarcalcados.com.br
058 - Ribeirão Shopp,58,loja058@oscarcalcados.com.br,gerente058@oscarcalcados.com.br
061 - Jundiaí,61,loja061@oscarcalcados.com.br,gerente061@oscarcalcados.com.br
062 - Piracicaba,62,loja062@oscarcalcados.com.br,gerente062@oscarcalcados.com.br
063 - Sorocaba,63,loja063@oscarcalcados.com.br,gerente063@oscarcalcados.com.br
064 - Araraquara,64,loja064@oscarcalcados.com.br,gerente064@oscarcalcados.com.br
065 - Mogi Mirim,65,loja065@oscarcalcados.com.br,gerente065@oscarcalcados.com.br
066 - Mogi Guaçu,66,loja066@oscarcalcados.com.br,gerente066@oscarcalcados.com.br
067 - Oriente Shopp,67,loja067@oscarcalcados.com.br,gerente067@oscarcalcados.com.br
068 - Bauru,68,loja068@oscarcalcados.com.br,gerente068@oscarcalcados.com.br
069 - Piracicaba,69,loja069@oscarcalcados.com.br,gerente069@oscarcalcados.com.br
101 - Jô Botucatu,101,loja101@oscarcalcados.com.br,gerente101@oscarcalcados.com.br
102 - Ituiutaba,102,loja102@oscarcalcados.com.br,gerente102@oscarcalcados.com.br
