idestabelecimento,ds_sigla,ds_unidadenegocio,loja_ativa
366,900,Geral,NAO
361,100,Grupo Ecommerce,NAO
139,900,Grupo Oscar Calçados,NAO
28,14,Ñ Grupo Schutz,NAO
26,21,Grupo Oscar Calçados,NAO
56,25,Grupo Stock Show Sjc,NAO
75,27,Grupo Adidas,NAO
133,29,Grupo Oscar Calçados,NAO
63,33,Geral,NAO
140,46,Grupo Constantino,NAO
176,51,Grupo Adidas,NAO
179,52,Grupo Adidas,NAO
122,90,Grupo Stock Show Mogi,NAO
135,93,Grupo Defeito,NAO
123,94,Grupo Defeito,NAO
125,95,Grupo Defeito,NAO
124,96,Geral,NAO
121,97,Geral,NAO
132,98,Geral,NAO
180,103,Grupo Jô Calçados,NAO
143,104,Grupo Jô Calçados,NAO
148,110,Grupo Jô Calçados,NAO
150,112,Grupo Jô Calçados,NAO
169,129,Grupo Jô Calçados,NAO
137,130,Grupo Oscar Calçados,NAO
178,131,Grupo Jô Calçados,NAO
368,151,Geral,NAO
257,207,Grupo Carioca Calçados,NAO
355,301,Grupo Paquetá,NAO
356,303,Grupo Paquetá,NAO
345,316,Grupo Paquetá,NAO
346,322,Grupo Paquetá,NAO
348,329,Grupo Paquetá,NAO
310,360,Geral,NAO
313,365,Grupo Paquetá,NAO
290,500,Grupo Diadora,NAO
307,843,Geral,NAO
170,900,Grupo Defeito,NAO
170,900,Geral,NAO
170,900,Grupo Oscar Calçados,NAO
165,901,Ñ Grupo Foot Company,NAO
184,902,Grupo Jô Calçados,NAO
185,903,Grupo Jô Calçados,NAO
120,904,Ñ Grupo Teste Ti,NAO
18,905,Grupo Arezzo,NAO
0,999,Ñ Grupo Oscar Sjc,NAO
175,30a,Grupo Defeito,NAO
198,ABY,Geral,NAO
357,CDD,Grupo Oscar Calçados,NAO
78,DEF,Grupo Defeito,NAO
131,DES,Grupo Defeito,NAO
130,FCA,Geral,NAO
282,FIN,Geral,NAO
62,FMG,Geral,NAO
80,FSJ,Geral,NAO
283,MTX,Geral,NAO
174,OOC,Grupo Oscar Calçados,NAO
367,osc,Geral,NAO
202,OXY,Geral,NAO
284,TRP,Geral,NAO
2,1,Grupo Oscar Calçados,SIM
3,2,Grupo Oscar Calçados,SIM
7,3,Grupo Oscar Calçados,SIM
8,4,Grupo Oscar Calçados,SIM
11,5,Grupo Oscar Calçados,SIM
17,6,Grupo Oscar Calçados,SIM
12,7,Grupo Oscar Calçados,SIM
177,8,Grupo Oscar Calçados,SIM
13,9,Grupo Oscar Calçados,SIM
14,10,Grupo Oscar Calçados,SIM
74,11,Grupo Arezzo,SIM
19,12,Grupo Arezzo,SIM
20,13,Grupo Arezzo,SIM
21,15,Grupo Victor Hugo,SIM
15,16,Grupo Oscar Calçados,SIM
16,17,Grupo Oscar Calçados,SIM
22,18,Grupo Arezzo,SIM
24,19,Grupo Oscar Calçados,SIM
25,20,Grupo Oscar Calçados,SIM
27,22,Grupo Oscar Calçados,SIM
30,23,Grupo Oscar Calçados,SIM
54,24,Grupo Stock Show Sjc,SIM
72,26,Grupo Oscar Calçados,SIM
100,28,Grupo Oscar Calçados,SIM
134,30,Grupo Ecommerce,SIM
61,31,Grupo Constantino,SIM
64,32,Grupo Oscar Calçados,SIM
68,34,Grupo Stock Show Mogi,SIM
70,35,Grupo Stock Show Mogi,SIM
67,36,Grupo Scarlen,SIM
65,37,Grupo Scarlen,SIM
66,38,Grupo Scarlen,SIM
58,39,Grupo Oscar Calçados,SIM
60,40,Grupo Arezzo,SIM
183,41,Grupo Oscar Calçados,SIM
69,42,Grupo Stock Show Mogi,SIM
129,43,Grupo Oscar Calçados,SIM
138,44,Grupo Oscar Calçados,SIM
182,45,Grupo Oscar Calçados,SIM
159,47,Grupo Oscar Calçados,SIM
